transaction_id,store_id,timestamp,sku,product_name,category,quantity,unit_price
TXN012636,FL-710,2024-09-13T09:48:13,PNUTBTR-16,PEANUT BUTTER,Grocery,1,3.15
TXN000759,fl-412,2024-09-02 20:30:20,CNSOUP-01,CANNED SOUP,GROCERY,1,2.02
TXN003338,FL-105,2024-09-06 10:06:00,TOILETPAPER12,Toilet Paper 12-Roll,Household Essentials,2,10.47
TXN025020,FL-330,2024-09-30 06:29:08,ROKU-STD,Roku Streaming Stick,ELECTRONICS,1,28.59
TXN015797,FL-302,2024-09-15 15:59:42,BEER-24,Light Beer 24pk,Alcoholic Beverages,3,18.82
TXN010403,FL-445,2024-09-12 10:32:34,CHIPVARIETY,Chips Variety Pack,snacks,1,8.75
TXN014974,FL_105,09/15/2024 09:26,TARP-HD,TARP - HEAVY DUTY,Emergency,2,19.48
TXN008161,FL-330,09/11/2024 14:47,PAPERTOWEL6,PAPER TOWELS 6PK,Household,2,7.94
TXN023517,FL-619,2024-09-27 16:40:14,ROKU-STD,Roku Streaming Stick,electronics,1,30.64
TXN012652, FL-710,09/13/2024 20:03,CANDLE-EMRG,Emergency Candles,EMERGENCY,3,5.95
TXN022661,FL-412,2024-09-26 17:22:06,CARDS-01,PLAYING CARDS,entertainment,2,$4.76
TXN009801,FL-287,09-12-2024 18:24:47,CHIPVARIETY,Chips Variety Pack,SNACKS,2,$8.75
TXN005972,FL287,09/09/2024 13:19,CHIPS-VP,CHIPS VARIETY PACK,snacks,1,8.97
TXN014966,FL105,2024-09-15 08:24:01,HDTARP-01,TARP - HEAVY DUTY,EMERGENCY,1, 19.32 
TXN004265,FL-412,2024-09-07 08:12:08,CARDS-01,PLAYING CARDS,ENTERTAINMENT,2,5.15
TXN024765,FL-445,2024-09-29 11:49:33,WHITEBREAD,Bread - White,Grocery,1,2.39
TXN022126,FL-287,2024-09-25 14:52:50,PORTCHARGER,Portable Phone Charger,ELECTRONICS,1,24.31
TXN005685,FL-239,2024-09-09 07:43:43,BEER-24,Light Beer 24pk,ALCOHOL,3,18.84
TXN007124,fl-156,09-10-2024 11:40:38,PTOWEL-6,Paper Towels,Household Essentials,1,7.70
TXN009664,FL-412,09/12/2024 13:17,FIRSTAID-KIT,FIRST AID KIT,Health,1,15.04
TXN001671,FL-445,2024-09-03T21:52:07,PNUTBTR-16,Peanut Butter,Grocery,2,$3.31
TXN013566,FL-156,2024-09-14 20:08:55,PT_STRAWBERRY,pop-tarts strawberry,BREAKFAST,4,3.46
TXN009505,FL-330,09/12/2024 06:20,LTBEER24,Light Beer 24pk,Alcohol,2,18.14
TXN024451,FL-412,09/29/2024 15:32,FLASH-01,Flashlight - LED,Emergency,3,13.04
TXN006442,FL-710,NaN,PAPERTOWEL6,Paper Towels,Household,1,$7.82
TXN016410,FL-501,2024-09-16 14:34:25,LTBEER24,Light Beer 24pk,ALCOHOL,3,18.15
TXN018977,FL-105,09/20/2024 06:26,PB-16,Peanut Butter 16oz,Groceries,1,3.22
TXN007697,FL-710,10-Sep-2024 19:46,SKU#459812,POPTART-STRAWBERRY,BREAKFAST,4, 3.45 
TXN000350,FL-078,01-Sep-2024 12:31,BATT_AA_4PK,AA Batteries (4-pack),emergency,2,6.71
TXN009595,FL-412,09/12/2024 06:55,PT_STRAWBERRY,Strawberry Pop-Tart,Breakfast,3,3.54
TXN024193,FL-445,2024-09-28 09:31:00,BFORM-01,Infant Formula,Baby Products,1,28.91
TXN002242,FL-445,2024-09-04 10:01:39,WTR-24,Water - 24 Pack,EMERGENCY,1,5.02
TXN010287,FL-619,2024-09-12 09:31:18,PAPERTOWEL6,PAPER TOWELS 6PK,household,1,7.94
TXN009441,FL-105,09/12/2024 14:08,TOILETPAPER12,TOILET PAPER 12PK,Household,1,9.94
TXN019961,FL-445,09-21-2024 07:05:04,STREAM-01,Roku Streaming Stick,Electronics,1,30.70
TXN022671,FL-412,2024-09-26 11:04:12,PNUTBTR-16,Peanut Butter,Grocery,1,3.13
TXN009586, FL-330,2024-09-12 12:01:09,HDTARP-01,TARP - HEAVY DUTY,emergency,1,20.96
TXN021031,FL-501,2024-09-23T10:07:24,STREAM-01,STREAMING STICK,Electronics,1,28.65
TXN012742,FL-239,2024-09-14 14:21:48,BATT-100,BATTERIES AA 4PK,Emergency Supplies,5,6.44
TXN020639,FL-302,09-22-2024 12:50:41,CHIPVARIETY,Chips Variety Pack,snacks,3,8.77
TXN001480,FL-156,2024-09-03 15:54:28,CNDL-EM,Emergency Candles,Emergency Supplies,2,5.91
TXN024043,FL-501,2024-09-28 08:20:24,TARP-HD,TARP - HEAVY DUTY,Emergency,1,19.58
TXN003444,FL-412,09-06-2024 18:22:08,CARDS-01,Standard Playing Cards,Entertainment,3,4.79
TXN008207,fl-412,2024-09-11 16:11:24,FLASH-01,FLASHLIGHT LED,emergency,3,13.30
TXN007968,FL105,2024-09-11 11:38:37,FLASH-01,FLASHLIGHT LED,EMERGENCY,3,$13.02
TXN021737,FL-619,NaN,TP-12,TOILET PAPER 12PK,HOUSEHOLD,2,9.74
TXN017349,FL-501,NULL,CANDLE-EMRG,Emergency Candles,emergency,1,5.78
TXN005801,FL-330,2024-09-09 21:23:43,PT-12,Pop Tarts - Strawberry,BREAKFAST,3,3.49
TXN013700,FL-156,09/14/2024 17:38,TP-12,Toilet Paper 12-Roll,Household,2,9.93
TXN019251,fl-501,20-Sep-2024 13:12,BABYFORMULA,Infant Formula,Baby Products,1,29.06
TXN008387,FL-287,11-Sep-2024 17:24,PORTCHARGER,PORTABLE CHARGER,Electronics,2,25.48
TXN007685,FL-302,09/10/2024 07:02,DIAP-S3,DIAPERS SZ 3,BABY,2,24.27
TXN005992,fl-156,2024-09-09 07:39:32,POPTART-STRAW,Strawberry Pop-Tart,Breakfast,1,3.62
TXN019201,FL-156,2024-09-20 17:00:11,DIAPERS-3,Diapers Size 3,Baby Products,1,24.49
TXN014207,FL-619,14-Sep-2024 06:32,HDTARP-01,Heavy Duty Tarp,EMERGENCY,2,20.93
TXN002411,FL-239,2024-09-05 17:26:07,SOUP-CAN,CANNED SOUP,Groceries,4,1.92
TXN019388,FL-445,2024-09-20 19:45:44,DIAPERS-3,DIAPERS SZ 3,baby,1,26.21
TXN006671, FL-105,09/10/2024 17:59,HDTARP-01,Heavy Duty Tarp,Emergency,1,19.54
TXN011264,fl-412,2024-09-13T17:03:59,WHITEBREAD,White Bread,grocery,2,2.60
TXN004126,FL-105,2024-09-07 09:32:57,PNUTBTR-16,PEANUT BUTTER,GROCERY,2,3.29
TXN001132,FL-302,09/02/2024 07:16,PORTCHARGER,Portable Phone Charger,ELECTRONICS,2,23.84
TXN014923,FL-105,09/15/2024 13:40,PLAYCARD-STD,Playing Cards,Games & Entertainment,2,4.97
TXN015663,FL-445,15-Sep-2024 10:33,WATER24PK,BOTTLED WATER 24PK,emergency,1,4.90
TXN014930,FL-105,09/15/2024 15:27,SOUP-CAN,Soup - Canned,Grocery,2,1.94
TXN006244,FL-619,2024-09-09T08:26:45,CHRG-PORT,Phone Charger - Portable,ELECTRONICS,1,25.07
TXN016562,FL-619,16-Sep-2024 20:57,BG-MONO,Monopoly Board Game,Entertainment,2,$19.16
TXN025203,FL-156,2024-09-30T14:33:59,TARP-HD,TARP - HEAVY DUTY,Emergency Supplies,2,20.23
TXN010466,FL-302,2024-09-12T10:50:45,BEER-24,Light Beer (24-pack),Alcoholic Beverages,1,18.43
TXN003084,FL-302,05-Sep-2024 15:29,FLASH-01,Flashlight - LED,emergency,2,12.41
TXN024607,FL-501,09/29/2024 17:54,BEER-24,BEER LIGHT 24PK,Alcoholic Beverages,2,$19.35
TXN021510,FL412,09/24/2024 07:21,BABYFORMULA,Infant Formula,baby,1,31.39
TXN016295,FL_287,2024-09-16 08:04:11,CHIPS-VP,Variety Pack - Chips,snacks,1,8.71
TXN004614,FL-619,09/07/2024 20:36,CANDLE-EMRG,Candles (Emergency),Emergency,1,5.81
